pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
0.1384936,-0.08470869,0.5764968,-0.04291986,-0.0668769,0.5352325,-0.06909382,-0.07042981,0.5297912,-0.1174611,-0.1229256,0.5768397,-0.09736732,-0.1000527,0.5470093,THUMB
0.1385592,-0.08472115,0.5767879,-0.04265738,-0.06683152,0.5353607,-0.06882798,-0.07033902,0.5298829,-0.1172388,-0.1228469,0.5768405,-0.09711608,-0.09996972,0.5470486,THUMB
0.1377547,-0.0846916,0.5759828,-0.04298024,-0.06711265,0.5352485,-0.06909069,-0.07072539,0.5297936,-0.1174346,-0.1232163,0.5767182,-0.09730953,-0.1003998,0.5469702,THUMB
0.1365453,-0.08455655,0.5751785,-0.04395568,-0.06724766,0.5351831,-0.07002953,-0.07094295,0.5297543,-0.1182164,-0.1236287,0.5765797,-0.09815733,-0.1007219,0.5469002,THUMB
0.1356597,-0.08430967,0.5751123,-0.04460077,-0.06707152,0.5354562,-0.07062362,-0.07081322,0.5300153,-0.1188149,-0.1237075,0.5764319,-0.09876222,-0.1005972,0.54695,THUMB
0.1353307,-0.08424672,0.5749259,-0.04480945,-0.06712686,0.5353975,-0.07079284,-0.07093928,0.5299559,-0.1190325,-0.1238518,0.5761912,-0.0989638,-0.1006669,0.5467993,THUMB
0.1353884,-0.08391454,0.5745134,-0.045167,-0.06708158,0.5349655,-0.07118498,-0.07100102,0.5295743,-0.1194734,-0.1241407,0.5758579,-0.09943453,-0.1007525,0.5464202,THUMB
0.1356125,-0.08371613,0.5743896,-0.04519822,-0.0672252,0.5345766,-0.07126348,-0.07115439,0.5291809,-0.1195688,-0.1244368,0.575635,-0.09952783,-0.1009982,0.5461012,THUMB
0.1361995,-0.08231549,0.5750845,-0.04509198,-0.0671972,0.534005,-0.07137761,-0.07098513,0.5283843,-0.1199302,-0.1250066,0.5752479,-0.09971864,-0.1013611,0.5454521,THUMB
0.136263,-0.08022497,0.5751923,-0.04564926,-0.06671007,0.53407,-0.07209378,-0.07050655,0.5283151,-0.1202482,-0.1257094,0.575541,-0.1001238,-0.1017948,0.5455208,THUMB
0.1361572,-0.0782904,0.5758561,-0.04647246,-0.06596415,0.5345209,-0.07296837,-0.06989749,0.5286992,-0.1206376,-0.1259782,0.5760037,-0.100682,-0.101802,0.5458896,THUMB
0.1368385,-0.07710281,0.5774558,-0.04675127,-0.06556558,0.5344795,-0.07330807,-0.06954777,0.5285247,-0.1208786,-0.1260444,0.5759723,-0.1009566,-0.1017028,0.5457165,THUMB
0.1378085,-0.0769534,0.5791703,-0.04662725,-0.06579403,0.533901,-0.07323328,-0.06977887,0.5278129,-0.1209943,-0.1262082,0.5753795,-0.1010094,-0.1018332,0.5449936,THUMB
