pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.7643263,-0.1522625,-0.1912714,-0.3788449,0.7666153,0.05634765,-0.1026013,0.8749173,0.1533732,0.3911552,0.5853215,0.3217308,0.1279305,0.807287,0.2387404,0.2356519,0.9373132,0.7532372,0.9093915,FIVE
-0.7644469,-0.1516142,-0.1881588,-0.3760996,0.7696914,0.03777356,-0.1024655,0.8780755,0.1350529,0.3938953,0.5878323,0.3138392,0.1294452,0.810564,0.2249724,0.2381223,0.938233,0.7485527,0.9077846,FIVE
-0.7615113,-0.1506336,-0.1973576,-0.3704771,0.7763081,-0.001405954,-0.1043159,0.8837922,0.1072551,0.3948325,0.5910447,0.3106595,0.1289481,0.8171713,0.2054648,0.2401581,0.9397614,0.7399302,0.903959,FIVE
-0.7612332,-0.1541716,-0.1982633,-0.3687152,0.7782423,-0.002969732,-0.1077043,0.8844483,0.1095208,0.3949635,0.5878804,0.3187746,0.1258489,0.8174587,0.2098832,0.2336395,0.9413198,0.7348212,0.9010816,FIVE
-0.7629446,-0.1559761,-0.1953265,-0.3687254,0.7783695,0.004872142,-0.1094524,0.883949,0.1147484,0.3966694,0.5870706,0.3182571,0.1262613,0.8169941,0.2121354,0.2298765,0.9424105,0.7340736,0.9009254,FIVE
-0.7638755,-0.156441,-0.193794,-0.3689092,0.778497,0.004310519,-0.1109775,0.8844697,0.1112796,0.3969803,0.5892562,0.3134977,0.1257404,0.8182389,0.2071433,0.2299679,0.9432454,0.7339243,0.9008468,FIVE
-0.7643393,-0.1555031,-0.1901484,-0.3689913,0.7785311,0.001178698,-0.1117263,0.885041,0.1062421,0.3960942,0.5923001,0.3083028,0.1240765,0.8196955,0.2012299,0.232398,0.9436606,0.7350972,0.9008958,FIVE
-0.7642962,-0.1543905,-0.188836,-0.371175,0.7776027,0.006972424,-0.1148478,0.884063,0.1120951,0.3943095,0.5927895,0.3100984,0.1206394,0.8191038,0.2055549,0.2347987,0.9439884,0.7359969,0.9009846,FIVE
-0.766381,-0.1541957,-0.183299,-0.3744371,0.7752844,0.02942551,-0.1152556,0.880852,0.1326244,0.3949127,0.5871576,0.3199332,0.1201287,0.8141023,0.2243292,0.2342338,0.9433817,0.7370565,0.9016287,FIVE
-0.7690876,-0.1550026,-0.1650308,-0.3772074,0.7718505,0.04289049,-0.1123064,0.8789769,0.1399819,0.3956542,0.5842806,0.3229375,0.1211413,0.8101764,0.2347546,0.2369288,0.9418721,0.7388028,0.9029431,FIVE
-0.7704412,-0.1560754,-0.1591273,-0.3775273,0.7712293,0.04584079,-0.1096481,0.8784539,0.1428204,0.3954697,0.5826201,0.3250911,0.122218,0.808497,0.2389092,0.2366329,0.940794,0.7403147,0.9036663,FIVE
-0.7706472,-0.1557522,-0.161098,-0.3773661,0.7721177,0.04308386,-0.1083616,0.879653,0.1398466,0.3960264,0.583494,0.3234994,0.1233669,0.8096818,0.2360401,0.2369223,0.9404616,0.7406417,0.9037514,FIVE
-0.7712581,-0.1562929,-0.1628355,-0.3785046,0.7723678,0.04567776,-0.1089095,0.8801411,0.1415241,0.3968107,0.5843552,0.3219157,0.1237711,0.810715,0.2349332,0.2366031,0.9404473,0.7411227,0.9037699,FIVE
-0.771121,-0.1557441,-0.1649206,-0.3793612,0.7722917,0.04724509,-0.1097271,0.880152,0.1430926,0.3962731,0.585295,0.321269,0.1233672,0.8113724,0.2342818,0.2374375,0.9404708,0.7420745,0.9040107,FIVE
