pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
-0.0003371239,358.6969,0.02212644,223.4226,-0.06208825,35.65975,-0.06710577,8.288114,0.0159142,227.2992,-0.07181001,326.3963,-0.08449507,7.866243,0.005826831,227.4342,-0.0636313,316.3768,-0.0820508,5.696611,-0.01588273,232.7809,-0.01918936,302.8926,-0.08848667,6.036274,-0.003894567,229.1417,-0.04494381,312.2304,OPEN
-0.02040434,21.31874,-0.01123786,238.8879,-0.06361556,47.06014,-0.08787203,27.7775,-0.01599395,250.2098,-0.0447042,339.1499,-0.1000776,27.77853,-0.02423847,250.6953,-0.0267632,329.1556,-0.07693338,39.96605,-0.03429735,243.1341,0.01916885,308.5883,-0.094594,35.4152,-0.03071868,246.3367,-0.00506568,321.8308,OPEN
-0.05566645,9.316933,-0.02794611,259.4918,-0.05386233,75.02518,-0.09534931,25.44441,0.0234313,293.3878,0.01503253,4.456689,-0.09028625,21.41103,0.02855635,295.3727,0.04443574,352.0393,-0.02869034,0.7406958,0.02457607,325.0002,0.08379328,333.5595,-0.06418276,1.455986,0.0365119,308.8564,0.06993198,346.086,OPEN
-0.06066847,340.5401,0.007561326,268.5977,-0.05317831,73.52618,-0.07048559,337.4625,0.07252789,288.8694,0.0126183,351.2129,-0.06070137,330.8812,0.07527196,301.8993,0.04601741,333.3287,-0.01835346,338.0669,0.03238463,333.8711,0.08419275,303.4399,-0.03891039,325.9091,0.06399143,319.4002,0.06979299,319.3766,OPEN
-0.02548933,314.8239,0.03360605,244.0687,-0.06735325,74.21182,-0.04116917,307.546,0.09393215,281.6878,0.0008354187,334.7253,-0.04351616,307.0875,0.09297717,300.143,0.03293252,310.1154,-0.03934956,325.124,0.03987384,317.4748,0.07133174,284.6746,-0.04116058,309.8533,0.07556903,309.7012,0.05432677,298.7531,OPEN
0.009360313,306.4404,0.04502034,220.1941,-0.05693817,58.14108,-0.03097391,310.0697,0.09624827,240.3271,-0.01572704,329.9409,-0.05353212,312.8131,0.09252942,245.0707,-0.0001442432,315.0439,-0.07505608,322.5869,0.03995323,256.3713,0.019629,289.0796,-0.06821251,317.1545,0.0716337,248.9615,0.01102781,306.3269,OPEN
0.01035643,327.0423,0.04368854,219.2817,-0.05280149,32.9475,-0.05195999,339.517,0.07064545,218.7861,-0.04844069,320.2194,-0.07320786,341.4821,0.06025112,217.3103,-0.04491842,309.4906,-0.08242226,342.2026,0.01288116,227.9871,-0.01965964,288.3055,-0.08294678,341.5746,0.03926706,221.9237,-0.03445899,301.925,OPEN
0.005300999,349.5265,0.03400803,216.9497,-0.05728841,26.39902,-0.0547452,10.18629,0.02691674,207.6906,-0.07630539,314.4135,-0.07392025,7.288391,0.01394248,211.1733,-0.07158542,303.6583,-0.07874918,2.965712,-0.01592422,223.1198,-0.03094316,289.1139,-0.08169794,3.522372,0.0007658005,217.5565,-0.05475152,299.4378,OPEN
-0.002795696,17.20639,0.009205341,223.4384,-0.06350505,32.0506,-0.06754494,17.34957,-0.002037644,228.033,-0.07260382,322.0933,-0.08368349,17.20257,-0.01431584,228.5143,-0.06365764,312.2929,-0.07760906,15.17219,-0.03143716,232.0679,-0.01957333,299.62,-0.08598423,16.56346,-0.02387476,229.329,-0.0448097,308.1557,OPEN
-0.04044533,16.70463,-0.02910161,249.9859,-0.0608412,67.50788,-0.09992743,18.11133,0.007587194,283.6474,-6.771088E-05,1.890616,-0.1027489,22.86432,0.003650427,284.6548,0.02563787,351.4563,-0.05119514,16.49269,0.004729152,311.392,0.07576966,338.4641,-0.08439589,19.60023,0.009720325,295.1262,0.05501628,347.4706,OPEN
